id_gabinete,duracion_meses,caida_evento,gobierno_mayoritario,fragmentacion,crecimiento_pbi
GAB-184,21.6,1,0,2.73,1.95
GAB-196,1.1,1,0,5.68,-0.71
GAB-208,0.3,1,0,7.2,5.55
GAB-290,7.6,1,0,2.92,2.97
GAB-315,10.7,1,0,4.37,0.66
GAB-201,30.8,1,1,6.78,0.34
GAB-133,27.6,1,1,2.97,2.64
GAB-225,7.3,1,0,4.09,2.4
GAB-285,18.5,1,1,6.0,5.85
GAB-269,8.0,1,1,6.26,1.68
GAB-333,8.5,1,0,5.64,2.95
GAB-110,4.2,1,0,5.58,-0.93
GAB-116,27.1,1,0,5.99,2.51
GAB-127,4.1,1,0,5.75,5.06
GAB-185,9.9,1,0,2.7,-2.1
GAB-137,10.2,1,0,5.21,4.44
GAB-182,4.3,1,0,2.57,1.44
GAB-169,21.7,1,1,3.75,0.91
GAB-240,8.9,1,1,7.45,-0.76
GAB-259,25.1,0,1,2.96,0.91
GAB-224,3.5,1,0,2.86,3.04
GAB-114,2.6,1,0,6.89,-0.69
GAB-101,4.8,1,1,4.43,6.25
GAB-121,6.0,1,0,6.55,2.22
GAB-310,33.7,1,0,3.09,1.96
GAB-128,25.3,1,1,6.01,3.16
GAB-300,1.2,1,1,6.39,1.58
GAB-181,3.0,1,1,6.29,4.02
GAB-144,2.5,1,0,3.14,0.13
GAB-261,8.3,1,1,7.25,2.09
GAB-135,29.5,0,1,2.68,6.01
GAB-265,5.6,1,1,4.74,2.19
GAB-337,0.6,1,0,3.9,5.19
GAB-280,2.7,1,0,3.21,-1.58
GAB-316,11.1,1,0,3.93,4.24
GAB-283,6.9,1,1,3.01,1.8
GAB-268,11.2,1,0,5.86,3.18
GAB-273,16.4,1,0,4.97,1.66
GAB-118,17.1,1,0,4.3,1.6
GAB-323,27.1,1,0,6.96,5.49
GAB-294,1.0,1,0,6.56,3.18
GAB-282,4.9,1,1,5.59,-1.24
GAB-288,0.9,1,0,6.03,4.16
GAB-210,14.5,1,0,4.44,0.43
GAB-165,13.5,1,0,5.98,4.41
GAB-150,47.6,0,1,2.76,5.76
GAB-260,5.7,1,0,4.1,3.65
GAB-233,19.5,1,0,6.89,4.0
