,id_gabinete,fecha_inicio,fecha_fin_observacion,situacion_final,tipo_gobierno,fragmentacion,crecimiento_pbi
0,GAB-184,2000-01-02,2001-10-19,caida,minoritario,2.73,1.95
1,GAB-196,2000-01-14,2000-02-17,caida,minoritario,5.68,-0.71
2,GAB-208,2000-01-28,2000-02-05,caida,minoritario,7.2,5.55
3,GAB-290,2000-05-05,2000-12-21,caida,minoritario,2.92,2.97
4,GAB-315,2000-05-08,2001-03-29,caida,minoritario,4.37,0.66
5,GAB-201,2000-05-09,2002-12-02,caida,mayoritario,6.78,0.34
6,GAB-133,2000-06-07,2002-09-24,caida,mayoritario,2.97,2.64
7,GAB-225,2000-09-26,2001-05-06,caida,minoritario,4.09,2.4
8,GAB-285,2000-10-02,2002-04-19,caida,mayoritario,6.0,5.85
9,GAB-269,2000-10-08,2001-06-09,caida,mayoritario,6.26,1.68
10,GAB-333,2000-10-29,2001-07-15,caida,minoritario,5.64,2.95
11,GAB-110,2000-11-02,2001-03-11,caida,minoritario,5.58,-0.93
12,GAB-116,2000-11-07,2003-02-09,caida,minoritario,5.99,2.51
13,GAB-127,2000-12-18,2001-04-23,caida,minoritario,5.75,5.06
14,GAB-185,2001-01-09,2001-11-07,caida,minoritario,2.7,-2.1
15,GAB-137,2001-02-07,2001-12-13,caida,minoritario,5.21,4.44
16,GAB-182,2001-06-09,2001-10-18,caida,minoritario,2.57,1.44
17,GAB-169,2001-06-13,2003-04-05,caida,mayoritario,3.75,0.91
18,GAB-240,2001-07-29,2002-04-27,caida,mayoritario,7.45,-0.76
19,GAB-259,2001-09-11,2003-10-16,vigente_al_cierre,mayoritario,2.96,0.91
20,GAB-224,2001-09-21,2002-01-06,caida,minoritario,2.86,3.04
21,GAB-114,2001-10-23,2002-01-09,caida,minoritario,6.89,-0.69
22,GAB-101,2002-01-19,2002-06-15,caida,mayoritario,4.43,6.25
23,GAB-121,2002-01-24,2002-07-26,caida,minoritario,6.55,2.22
24,GAB-310,2002-06-10,2005-04-01,caida,minoritario,3.09,1.96
25,GAB-128,2002-06-21,2004-07-31,caida,mayoritario,6.01,3.16
26,GAB-300,2002-07-07,2002-08-13,caida,mayoritario,6.39,1.58
27,GAB-181,2002-07-28,2002-10-26,caida,mayoritario,6.29,4.02
28,GAB-144,2002-08-13,2002-10-27,caida,minoritario,3.14,0.13
29,GAB-261,2002-08-14,2003-04-25,caida,mayoritario,7.25,2.09
30,GAB-135,2002-08-14,2005-01-29,vigente_al_cierre,mayoritario,2.68,6.01
31,GAB-265,2002-08-26,2003-02-11,caida,mayoritario,4.74,2.19
32,GAB-337,2002-09-13,2002-10-01,caida,minoritario,3.9,5.19
33,GAB-280,2002-10-05,2002-12-25,caida,minoritario,3.21,-1.58
34,GAB-316,2002-10-11,2003-09-13,caida,minoritario,3.93,4.24
35,GAB-283,2002-11-01,2003-05-30,caida,mayoritario,3.01,1.8
36,GAB-268,2002-11-09,2003-10-15,caida,minoritario,5.86,3.18
37,GAB-273,2002-11-24,2004-04-07,caida,minoritario,4.97,1.66
38,GAB-118,2002-12-18,2004-05-22,caida,minoritario,4.3,1.6
39,GAB-323,2003-04-13,2005-07-16,caida,minoritario,6.96,5.49
40,GAB-294,2003-04-23,2003-05-23,caida,minoritario,6.56,3.18
41,GAB-282,2003-05-14,2003-10-09,caida,mayoritario,5.59,-1.24
42,GAB-288,2003-05-24,2003-06-20,caida,minoritario,6.03,4.16
43,GAB-210,2003-06-06,2004-08-21,caida,minoritario,4.44,0.43
44,GAB-165,2003-06-23,2004-08-08,caida,minoritario,5.98,4.41
45,GAB-150,2003-06-27,2007-06-14,vigente_al_cierre,mayoritario,2.76,5.76
46,GAB-260,2003-06-28,2003-12-17,caida,minoritario,4.1,3.65
47,GAB-233,2003-07-04,2005-02-16,caida,minoritario,6.89,4.0
48,GAB-243,2003-07-31,2004-02-22,caida,minoritario,6.38,0.69
49,GAB-267,2003-08-09,2004-02-02,caida,minoritario,4.14,3.01
50,GAB-348,2003-08-20,2005-07-28,caida,mayoritario,7.37,0.48
51,GAB-314,2003-09-26,2005-11-01,vigente_al_cierre,mayoritario,7.31,4.01
52,GAB-141,2003-10-19,2004-12-09,caida,minoritario,2.69,3.87
53,GAB-256,2003-10-22,2006-03-31,caida,mayoritario,4.45,3.56
54,GAB-163,2003-10-26,2004-04-24,caida,minoritario,7.31,0.38
55,GAB-157,2003-12-12,2004-06-05,caida,minoritario,4.11,2.32
56,GAB-321,2004-02-27,2004-07-16,caida,mayoritario,7.35,0.01
57,GAB-192,2004-03-05,2008-09-02,vigente_al_cierre,mayoritario,3.37,8.66
58,GAB-253,2004-04-28,2005-07-15,caida,minoritario,6.63,1.35
59,GAB-195,2004-07-04,2005-07-10,caida,minoritario,5.58,0.59
60,GAB-252,2004-07-13,2005-02-27,caida,minoritario,5.03,4.51
